instituicao,cod_ibge,uf,populacao,indicador_1,Nota_1,indicador_2,Nota_2,indicador_3,nota_3,classificacao_capag
Prefeitura Municipal de Caravelas - BA,2906907,BA,21937,"31,72%",A,"92,93%",B,"96,35%",A,B
Prefeitura Municipal de Carazinho - RS,4304705,RS,61949,"8,33%",A,"87,19%",A,"5,34%",A,A
Prefeitura Municipal de Carbonita - MG,3113503,MG,9396,"1,45%",A,"93,87%",B,"55,91%",A,B
Prefeitura Municipal de Cardeal da Silva - BA,2907004,BA,9240,"17,89%",A,"79,36%",A,"43,53%",A,A
Prefeitura Municipal de Cardoso - SP,3510708,SP,12303,"1,27%",A,"93,16%",B,"59,90%",A,B
Prefeitura Municipal de Cardoso Moreira - RJ,3301157,RJ,12826,"1,45%",A,,n.d.,"245,83%",C,n.d.
Prefeitura Municipal de Careaçu - MG,3113602,MG,6721,"10,25%",A,"86,67%",A,"27,69%",A,A
Prefeitura Municipal de Careiro - AM,1301100,AM,37384,"4,31%",A,"102,89%",C,"15,97%",A,C
Prefeitura Municipal de Careiro da Várzea - AM,1301159,AM,29595,"3,79%",A,"101,03%",C,"9,91%",A,C
Prefeitura Municipal de Cariacica - ES,3201308,ES,378603,"17,72%",A,,n.d.,"11,14%",A,n.d.
Prefeitura Municipal de Caridade - CE,2303006,CE,22427,"71,06%",B,"96,06%",C,,n.d.,n.d.
Prefeitura Municipal de Caridade do Piauí - PI,2202554,PI,5049,"0,97%",A,"2353,64%",C,,n.d.,n.d.
Prefeitura Municipal de Carinhanha - BA,2907103,BA,28965,"71,47%",B,"96,52%",C,"-12,34%",C,C
Prefeitura Municipal de Carira - SE,2801405,SE,21724,,n.d.,,n.d.,"109,07%",C,n.d.
Prefeitura Municipal de Cariré - CE,2303105,CE,18802,"11,61%",A,"91,88%",B,,n.d.,n.d.
Prefeitura Municipal de Cariri do Tocantins - TO,1703867,TO,4321,"1,53%",A,"90,90%",B,"708,65%",C,C
Prefeitura Municipal de Caririaçu - CE,2303204,CE,27095,"35,10%",A,"90,30%",B,"621,71%",C,C
Prefeitura Municipal de Cariús - CE,2303303,CE,18950,"36,65%",A,"78,07%",A,,n.d.,n.d.
Prefeitura Municipal de Carlinda - MT,5102793,MT,10413,,n.d.,"89,44%",A,"0,00%",n.d.,n.d.
Prefeitura Municipal de Carlópolis - PR,4104709,PR,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Carlos Barbosa - RS,4304804,RS,29409,"16,04%",A,"82,50%",A,"16,56%",A,A
Prefeitura Municipal de Carlos Chagas - MG,3113701,MG,19007,"14,72%",A,"94,86%",B,,n.d.,n.d.
Prefeitura Municipal de Carlos Gomes - RS,4304853,RS,1404,,n.d.,"94,83%",B,"12,33%",A,n.d.
Prefeitura Municipal de Carmésia - MG,3113800,MG,2617,"3,53%",A,"92,89%",B,"126,80%",C,C
Prefeitura Municipal de Carmo - RJ,3301207,RJ,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Carmo da Cachoeira - MG,3113909,MG,12158,"0,80%",A,"91,70%",B,"26,29%",A,B
Prefeitura Municipal de Carmo da Mata - MG,3114006,MG,11439,"20,74%",A,"93,48%",B,"92,12%",A,B
Prefeitura Municipal de Carmo de Minas - MG,3114105,MG,14769,"12,24%",A,"92,68%",B,"96,88%",A,B
Prefeitura Municipal de Carmo do Cajuru - MG,3114204,MG,22257,"4,85%",A,"92,88%",B,"94,92%",A,B
Prefeitura Municipal de Carmo do Paranaíba - MG,3114303,MG,30324,"7,75%",A,"90,85%",B,"56,53%",A,B
Prefeitura Municipal de Carmo do Rio Claro - MG,3114402,MG,21180,"7,37%",A,"90,10%",B,"12,79%",A,B
Prefeitura Municipal de Carmo do Rio Verde - GO,5205000,GO,9976,"19,31%",A,"105,89%",C,"3,08%",A,C
Prefeitura Municipal de Carmolândia - TO,1703883,TO,2556,"2,56%",A,"93,20%",B,,n.d.,n.d.
Prefeitura Municipal de Carmópolis - SE,2801504,SE,16324,"32,20%",A,,n.d.,"141,43%",C,n.d.
Prefeitura Municipal de Carmópolis de Minas - MG,3114501,MG,19144,"4,90%",A,"94,88%",B,"41,54%",A,B
Prefeitura Municipal de Carnaíba - PE,2603900,PE,19491,"13,16%",A,"93,50%",B,"1300,66%",C,C
Prefeitura Municipal de Carnaúba dos Dantas - RN,2402402,RN,8119,"21,06%",A,,n.d.,"13,06%",A,n.d.
Prefeitura Municipal de Carnaubais - RN,2402501,RN,10651,"17,44%",A,"97,68%",C,"83,43%",A,C
Prefeitura Municipal de Carnaubal - CE,2303402,CE,17747,,n.d.,"97,68%",C,,n.d.,n.d.
Prefeitura Municipal de Carnaubeira da Penha - PE,2603926,PE,12836,"1,79%",A,"94,12%",B,,n.d.,n.d.
Prefeitura Municipal de Carneirinho - MG,3114550,MG,9986,"11,15%",A,"89,00%",A,,n.d.,n.d.
Prefeitura Municipal de Carneiros - AL,2701803,AL,9000,"11,34%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Caroebe - RR,1400233,RR,9950,"70,80%",B,"-690,43%",A,"98,52%",A,B
Prefeitura Municipal de Carolina - MA,2102804,MA,24337,"2,15%",A,"151,08%",C,"196,74%",C,C
Prefeitura Municipal de Carpina - PE,2604007,PE,82872,"0,46%",A,"97,45%",C,"862,09%",C,C
Prefeitura Municipal de Carrancas - MG,3114600,MG,4044,,n.d.,"88,82%",A,,n.d.,n.d.
Prefeitura Municipal de Carrapateira - PB,2504108,PB,2631,"55,16%",A,"109,37%",C,"209,19%",C,C
Prefeitura Municipal de Carrasco Bonito - TO,1703891,TO,4059,"57,06%",A,"92,50%",B,"-6,53%",C,C
Prefeitura Municipal de Caruaru - PE,2604106,PE,356872,"29,53%",A,"95,45%",C,"1045,27%",C,C
Prefeitura Municipal de Carutapera - MA,2102903,MA,23658,"22,54%",A,"2789,08%",C,"-58,10%",C,C
Prefeitura Municipal de Carvalhópolis - MG,3114709,MG,3560,"3,27%",A,"87,51%",A,"15,91%",A,A
Prefeitura Municipal de Carvalhos - MG,3114808,MG,4495,"2,50%",A,"97,92%",C,"147,67%",C,C
Prefeitura Municipal de Casa Branca - SP,3510807,SP,30237,"38,79%",A,"98,46%",C,"-9,46%",C,C
Prefeitura Municipal de Casa Grande - MG,3114907,MG,2260,"2,31%",A,"94,17%",B,"93,21%",A,B
Prefeitura Municipal de Casa Nova - BA,2907202,BA,71366,"97,22%",B,"98,35%",C,"133,31%",C,C
Prefeitura Municipal de Casca - RS,4304903,RS,9010,"18,71%",A,"94,14%",B,"46,62%",A,B
Prefeitura Municipal de Cascalho Rico - MG,3115003,MG,3057,"4,40%",A,"92,24%",B,"9,92%",A,B
Prefeitura Municipal de Cascavel - CE,2303501,CE,71499,"35,71%",A,"96,57%",C,"149,18%",C,C
Prefeitura Municipal de Cascavel - PR,4104808,PR,324476,"20,10%",A,"87,16%",A,"21,10%",A,A
Prefeitura Municipal de Caseara - TO,1703909,TO,5295,"5,57%",A,,n.d.,"6434,71%",C,n.d.
Prefeitura Municipal de Caseiros - RS,4304952,RS,3189,"0,13%",A,"81,03%",A,"5,80%",A,A
Prefeitura Municipal de Casimiro de Abreu - RJ,3301306,RJ,43295,"5,24%",A,,n.d.,"2,69%",A,n.d.
Prefeitura Municipal de Casinhas - PE,2604155,PE,14313,"25,24%",A,"93,03%",B,"127,73%",C,C
Prefeitura Municipal de Casserengue - PB,2504157,PB,7431,"-1,38%",A,"98,35%",C,"205,15%",C,C
Prefeitura Municipal de Cássia - MG,3115102,MG,17739,"4,82%",A,"95,87%",C,,n.d.,n.d.
Prefeitura Municipal de Cássia dos Coqueiros - SP,3510906,SP,2542,"16,30%",A,"93,40%",B,"77,51%",A,B
Prefeitura Municipal de Cassilândia - MS,5002902,MS,21876,"1,95%",A,"90,76%",B,"6,38%",A,B
Prefeitura Municipal de Castanhal - PA,1502400,PA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Castanheira - MT,5102850,MT,8695,,n.d.,"93,27%",B,"91,64%",A,n.d.
Prefeitura Municipal de Castanheiras - RO,1100908,RO,3119,"28,45%",A,"233,48%",C,"3,99%",A,C
Prefeitura Municipal de Castelândia - GO,5205059,GO,3464,"104,04%",B,"88,47%",A,,n.d.,n.d.
Prefeitura Municipal de Castelo - ES,3201407,ES,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Castelo do Piauí - PI,2202604,PI,19715,,n.d.,"96,85%",C,"119,33%",C,n.d.
Prefeitura Municipal de Castilho - SP,3511003,SP,20738,,n.d.,"96,78%",C,"59,34%",A,n.d.
Prefeitura Municipal de Castro - PR,4104907,PR,71151,"9,82%",A,"89,01%",A,"14,90%",A,A
Prefeitura Municipal de Castro Alves - BA,2907301,BA,26209,"45,32%",A,"95,22%",C,"97,10%",A,C
Prefeitura Municipal de Cataguases - MG,3115300,MG,74691,"5,36%",A,"99,05%",C,"-670,92%",C,C
Prefeitura Municipal de Catalão - GO,5205109,GO,106618,"13,29%",A,"80,59%",A,,n.d.,n.d.
Prefeitura Municipal de Catanduva - SP,3511102,SP,121210,"15,35%",A,"89,96%",A,"58,57%",A,A
Prefeitura Municipal de Catanduvas - PR,4105003,PR,10213,"10,66%",A,"89,54%",A,"8,23%",A,A
Prefeitura Municipal de Catanduvas - SC,4204004,SC,10735,"3,19%",A,"86,39%",A,"26,22%",A,A
Prefeitura Municipal de Catarina - CE,2303600,CE,20562,"33,61%",A,"88,99%",A,,n.d.,n.d.
Prefeitura Municipal de Catas Altas - MG,3115359,MG,5330,"0,03%",A,"64,00%",A,"0,38%",A,A
Prefeitura Municipal de Catas Altas da Noruega - MG,3115409,MG,3629,"25,56%",A,"72,02%",A,"-24,24%",C,C
Prefeitura Municipal de Catende - PE,2604205,PE,42434,"18,53%",A,"109,30%",C,"1095,01%",C,C
Prefeitura Municipal de Catiguá - SP,3511201,SP,7752,"12,21%",A,"103,35%",C,"197,16%",C,C
Prefeitura Municipal de Catingueira - PB,2504207,PB,4929,"38,95%",A,"88,78%",A,"278,13%",C,C
Prefeitura Municipal de Catolândia - BA,2907400,BA,3555,"26,30%",A,"95,86%",C,"99,33%",A,C
Prefeitura Municipal de Catolé do Rocha - PB,2504306,PB,30343,"70,84%",B,"126,10%",C,"117,80%",C,C
Prefeitura Municipal de Catu - BA,2907509,BA,54424,"33,04%",A,"92,39%",B,"22,41%",A,B
Prefeitura Municipal de Catuípe - RS,4305009,RS,8851,"6,24%",A,"95,66%",C,"22,85%",A,C
Prefeitura Municipal de Catuji - MG,3115458,MG,6366,"7,62%",A,"96,61%",C,,n.d.,n.d.
Prefeitura Municipal de Catunda - CE,2303659,CE,10437,"24,21%",A,"99,43%",C,,n.d.,n.d.
Prefeitura Municipal de Caturaí - GO,5205208,GO,5038,"2,53%",A,"98,67%",C,"-31,10%",C,C
Prefeitura Municipal de Caturama - BA,2907558,BA,9340,"45,06%",A,,n.d.,"900,61%",C,n.d.
Prefeitura Municipal de Caturité - PB,2504355,PB,4807,"5,92%",A,"101,47%",C,"207,43%",C,C
Prefeitura Municipal de Catuti - MG,3115474,MG,5008,"0,56%",A,"97,38%",C,"164,94%",C,C
Prefeitura Municipal de Caucaia - CE,2303709,CE,363982,"12,32%",A,"95,94%",C,"25,76%",A,C
Prefeitura Municipal de Cavalcante - GO,5205307,GO,9693,"21,40%",A,,n.d.,"7,08%",A,n.d.
Prefeitura Municipal de Caxambu - MG,3115508,MG,21703,"8,06%",A,"88,71%",A,"0,96%",A,A
Prefeitura Municipal de Caxambu do Sul - SC,4204103,SC,3735,"0,30%",A,"84,93%",A,"0,58%",A,A
Prefeitura Municipal de Caxias - MA,2103000,MA,164224,"3,99%",A,"125,17%",C,"137,71%",C,C
Prefeitura Municipal de Caxias do Sul - RS,4305108,RS,504069,"35,47%",A,"94,57%",B,"5,82%",A,B
Prefeitura Municipal de Caxingó - PI,2202653,PI,5395,"3,87%",A,,n.d.,"4024,27%",C,n.d.
Prefeitura Municipal de Ceará-Mirim - RN,2402600,RN,73099,"48,87%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Cedral - MA,2103109,MA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Cedral - SP,3511300,SP,9125,,n.d.,"93,48%",B,"29,51%",A,n.d.
Prefeitura Municipal de Cedro - CE,2303808,CE,25249,"49,27%",A,"92,96%",B,"422,79%",C,C
Prefeitura Municipal de Cedro - PE,2604304,PE,11722,,n.d.,"95,50%",C,"1193,53%",C,n.d.
Prefeitura Municipal de Cedro de São João - SE,2801603,SE,5880,"71,18%",B,"91,37%",B,"-0,41%",C,C
Prefeitura Municipal de Cedro do Abaeté - MG,3115607,MG,1171,"4,83%",A,"88,21%",A,"3,46%",A,A
Prefeitura Municipal de Celso Ramos - SC,4204152,SC,2738,"5,96%",A,"92,87%",B,"11,98%",A,B
Prefeitura Municipal de Centenário - RS,4305116,RS,2905,,n.d.,"98,46%",C,,n.d.,n.d.
Prefeitura Municipal de Centenário - TO,1704105,TO,2874,"3,13%",A,"95,11%",C,"80,10%",A,C
Prefeitura Municipal de Centenário do Sul - PR,4105102,PR,10891,"11,14%",A,"91,64%",B,"538,67%",C,C
Prefeitura Municipal de Central - BA,2907608,BA,17252,"52,51%",A,"93,55%",B,,n.d.,n.d.
Prefeitura Municipal de Central de Minas - MG,3115706,MG,7017,"6,03%",A,"96,47%",C,,n.d.,n.d.
Prefeitura Municipal de Central do Maranhão - MA,2103125,MA,8604,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Centralina - MG,3115805,MG,10425,"12,63%",A,"96,11%",C,"468,70%",C,C
Prefeitura Municipal de Centro do Guilherme - MA,2103158,MA,13243,"11,80%",A,"437,56%",C,"1,01%",A,C
Prefeitura Municipal de Centro Novo do Maranhão - MA,2103174,MA,21399,,n.d.,,n.d.,"-941,69%",C,n.d.
Prefeitura Municipal de Cerejeiras - RO,1100056,RO,16444,"4,86%",A,"97,42%",C,"1,28%",A,C
Prefeitura Municipal de Ceres - GO,5205406,GO,22074,"6,49%",A,"84,79%",A,"417,11%",C,C
Prefeitura Municipal de Cerqueira César - SP,3511409,SP,19774,"23,85%",A,"92,21%",B,"198,12%",C,C
Prefeitura Municipal de Cerquilho - SP,3511508,SP,48074,,n.d.,"89,07%",A,"0,94%",A,n.d.
Prefeitura Municipal de Cerrito - RS,4305124,RS,6136,"14,06%",A,"90,21%",B,"29,83%",A,B
Prefeitura Municipal de Cerro Azul - PR,4105201,PR,17725,"19,06%",A,,n.d.,"41,16%",A,n.d.
Prefeitura Municipal de Cerro Branco - RS,4305132,RS,4676,"37,18%",A,"84,04%",A,"-134,44%",C,C
Prefeitura Municipal de Cerro Corá - RN,2402709,RN,11178,"14,90%",A,"109,99%",C,"-79,37%",C,C
Prefeitura Municipal de Cerro Grande - RS,4305157,RS,2327,,n.d.,"81,41%",A,"91,94%",A,n.d.
Prefeitura Municipal de Cerro Grande do Sul - RS,4305173,RS,12058,"0,19%",A,"90,73%",B,"-36,29%",C,C
Prefeitura Municipal de Cerro Largo - RS,4305207,RS,14074,"6,85%",A,"91,74%",B,,n.d.,n.d.
Prefeitura Municipal de Cerro Negro - SC,4204178,SC,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Cesário Lange - SP,3511607,SP,17915,"3,71%",A,"95,22%",C,"34,53%",A,C
Prefeitura Municipal de Céu Azul - PR,4105300,PR,11709,"14,51%",A,"96,09%",C,"47,60%",A,C
Prefeitura Municipal de Cezarina - GO,5205455,GO,8507,"20,48%",A,"112,88%",C,"1954,36%",C,C
Prefeitura Municipal de Chã de Alegria - PE,2604403,PE,13428,"1,27%",A,"96,54%",C,"535,49%",C,C
Prefeitura Municipal de Chã Grande - PE,2604502,PE,21579,"25,45%",A,"95,92%",C,"240,98%",C,C
Prefeitura Municipal de Chã Preta - AL,2701902,AL,7319,"8,87%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Chácara - MG,3115904,MG,3121,"4,01%",A,"93,17%",B,"-15,93%",C,C
Prefeitura Municipal de Chalé - MG,3116001,MG,5709,"2,58%",A,"96,25%",C,"224,76%",C,C
Prefeitura Municipal de Chapada - RS,4305306,RS,9300,"9,61%",A,"84,65%",A,"11,52%",A,A
Prefeitura Municipal de Chapada da Natividade - TO,1705102,TO,3334,"47,16%",A,"92,01%",B,"77,15%",A,B
Prefeitura Municipal de Chapada de Areia - TO,1704600,TO,1401,,n.d.,"91,73%",B,"4,71%",A,n.d.
Prefeitura Municipal de Chapada do Norte - MG,3116100,MG,15368,"24,28%",A,"93,87%",B,"129,86%",C,C
Prefeitura Municipal de Chapada dos Guimarães - MT,5103007,MT,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Chapada Gaúcha - MG,3116159,MG,13397,"10,98%",A,"89,21%",A,"481,61%",C,C
Prefeitura Municipal de Chapadão do Céu - GO,5205471,GO,9842,,n.d.,"86,50%",A,"10,27%",A,n.d.
Prefeitura Municipal de Chapadão do Lageado - SC,4204194,SC,2969,,n.d.,"93,16%",B,"21,76%",A,n.d.
Prefeitura Municipal de Chapadão do Sul - MS,5002951,MS,24559,"1,73%",A,"87,24%",A,,n.d.,n.d.
Prefeitura Municipal de Chapadinha - MA,2103208,MA,79145,"22,58%",A,"104,72%",C,,n.d.,n.d.
Prefeitura Municipal de Chapecó - SC,4204202,SC,216654,"11,68%",A,"90,03%",B,"365,36%",C,C
Prefeitura Municipal de Charqueada - SP,3511706,SP,17009,"2,87%",A,"91,60%",B,"5,06%",A,B
Prefeitura Municipal de Charqueadas - RS,4305355,RS,40301,"65,89%",B,,n.d.,"46,42%",A,n.d.
Prefeitura Municipal de Charrua - RS,4305371,RS,3306,"8,63%",A,"91,58%",B,"0,00%",n.d.,n.d.
Prefeitura Municipal de Chaval - CE,2303907,CE,13047,"51,00%",A,"98,02%",C,"542,14%",C,C
Prefeitura Municipal de Chavantes - SP,3557204,SP,12418,"14,37%",A,"92,83%",B,"402,05%",C,C
Prefeitura Municipal de Chaves - PA,1502509,PA,23482,"12,76%",A,"103,53%",C,,n.d.,n.d.
Prefeitura Municipal de Chiador - MG,3116209,MG,,,n.d.,"95,69%",C,"38,82%",A,n.d.
Prefeitura Municipal de Chiapetta - RS,4305405,RS,3794,"3,71%",A,"96,53%",C,"-487,31%",C,C
Prefeitura Municipal de Chopinzinho - PR,4105409,PR,19343,"3,89%",A,"90,10%",B,"5,81%",A,B
Prefeitura Municipal de Choró - CE,2303931,CE,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Chorozinho - CE,2303956,CE,19345,"28,86%",A,"90,26%",B,"59,36%",A,B
Prefeitura Municipal de Chorrochó - BA,2907707,BA,11154,"29,35%",A,"94,95%",B,"9,81%",A,B
Prefeitura Municipal de Chuí - RS,4305439,RS,6635,"1,21%",A,"96,46%",C,"47,13%",A,C
Prefeitura Municipal de Chupinguaia - RO,1100924,RO,10886,"0,22%",A,"92,28%",B,"4,82%",A,B
Prefeitura Municipal de Chuvisca - RS,4305447,RS,5401,,n.d.,"94,13%",B,"0,22%",A,n.d.
Prefeitura Municipal de Cianorte - PR,4105508,PR,81393,"4,01%",A,"91,97%",B,"44,11%",A,B
Prefeitura Municipal de Cícero Dantas - BA,2907806,BA,33356,"46,29%",A,"97,74%",C,,n.d.,n.d.
Prefeitura Municipal de Cidade Gaúcha - PR,4105607,PR,12503,"6,49%",A,"93,99%",B,"47,10%",A,B
Prefeitura Municipal de Cidade Ocidental - GO,5205497,GO,69829,"22,33%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Cidelândia - MA,2103257,MA,,,n.d.,"122,14%",C,,n.d.,n.d.
Prefeitura Municipal de Cidreira - RS,4305454,RS,15912,"35,02%",A,,n.d.,"4103,30%",C,n.d.
Prefeitura Municipal de Cipó - BA,2907905,BA,17097,"68,66%",B,"96,82%",C,"96,60%",A,C
Prefeitura Municipal de Cipotânea - MG,3116308,MG,6774,"5,08%",A,"96,93%",C,"421,67%",C,C
Prefeitura Municipal de Ciríaco - RS,4305504,RS,4775,,n.d.,"88,97%",A,"41,86%",A,n.d.
Prefeitura Municipal de Claraval - MG,3116407,MG,4810,"7,65%",A,"91,56%",B,,n.d.,n.d.
Prefeitura Municipal de Claro dos Poções - MG,3116506,MG,7590,"22,66%",A,"98,21%",C,"282,42%",C,C
Prefeitura Municipal de Cláudia - MT,5103056,MT,12052,"7,44%",A,"93,43%",B,"32,04%",A,B
Prefeitura Municipal de Cláudio - MG,3116605,MG,28366,"16,07%",A,"101,46%",C,"111,81%",C,C
Prefeitura Municipal de Clementina - SP,3511904,SP,8472,"0,30%",A,"95,23%",C,,n.d.,n.d.
Prefeitura Municipal de Clevelândia - PR,4105706,PR,16671,"14,69%",A,"86,64%",A,"3,26%",A,A
Prefeitura Municipal de Coaraci - BA,2908002,BA,17458,"189,18%",C,"97,30%",C,"1295,75%",C,D
Prefeitura Municipal de Coari - AM,1301209,AM,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Cocal - PI,2202703,PI,27725,"12,15%",A,"100,20%",C,"1620,42%",C,C
Prefeitura Municipal de Cocal de Telha - PI,2202711,PI,4881,"37,50%",A,,n.d.,"248,00%",C,n.d.
Prefeitura Municipal de Cocal do Sul - SC,4204251,SC,16544,"8,06%",A,"87,43%",A,"11,78%",A,A
Prefeitura Municipal de Cocal dos Alves - PI,2202729,PI,6140,"13,26%",A,"99,51%",C,"484,93%",C,C
Prefeitura Municipal de Cocalinho - MT,5103106,MT,5691,"8,94%",A,"93,43%",B,"67,32%",A,B
Prefeitura Municipal de Cocalzinho de Goiás - GO,5205513,GO,19971,"4,87%",A,"94,82%",B,"9,86%",A,B
Prefeitura Municipal de Cocos - BA,2908101,BA,18746,"23,38%",A,"94,67%",B,"947,32%",C,C
Prefeitura Municipal de Codajás - AM,1301308,AM,28100,"8,55%",A,"123,96%",C,"68,37%",A,C
Prefeitura Municipal de Codó - MA,2103307,MA,122597,"0,06%",A,"91,91%",B,,n.d.,n.d.
Prefeitura Municipal de Coelho Neto - MA,2103406,MA,49246,"7,69%",A,,n.d.,"90,49%",A,n.d.
Prefeitura Municipal de Coimbra - MG,3116704,MG,7517,"3,67%",A,"86,36%",A,"9,78%",A,A
Prefeitura Municipal de Coité do Nóia - AL,2702009,AL,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Coivaras - PI,2202737,PI,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Colares - PA,1502608,PA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Colatina - ES,3201506,ES,121580,"17,75%",A,"95,53%",C,"29,41%",A,C
Prefeitura Municipal de Colíder - MT,5103205,MT,33224,"0,72%",A,"95,67%",C,,n.d.,n.d.
Prefeitura Municipal de Colina - SP,3512001,SP,18398,"10,00%",A,"94,80%",B,"25,51%",A,B
Prefeitura Municipal de Colinas - MA,2103505,MA,41042,,n.d.,"22427,23%",C,"-55009,13%",C,n.d.
Prefeitura Municipal de Colinas - RS,4305587,RS,2442,,n.d.,"92,88%",B,"99,42%",A,n.d.
Prefeitura Municipal de Colinas do Sul - GO,5205521,GO,3404,"49,80%",A,,n.d.,"501,39%",C,n.d.
Prefeitura Municipal de Colinas do Tocantins - TO,1705508,TO,34990,"32,93%",A,"84,50%",A,"4253,58%",C,C
Prefeitura Municipal de Colméia - TO,1716703,TO,8270,"21,78%",A,"97,22%",C,"57,51%",A,C
Prefeitura Municipal de Colniza - MT,5103254,MT,37280,,n.d.,"113,03%",C,"60,76%",A,n.d.
Prefeitura Municipal de Colômbia - SP,3512100,SP,6203,"5,54%",A,"92,98%",B,"103,19%",C,C
Prefeitura Municipal de Colombo - PR,4105805,PR,240840,"2,80%",A,"90,82%",B,"21,71%",A,B
Prefeitura Municipal de Colônia do Gurguéia - PI,2202752,PI,6451,,n.d.,"93,04%",B,"156,80%",C,n.d.
Prefeitura Municipal de Colônia do Piauí - PI,2202778,PI,7651,"37,71%",A,"102,66%",C,"162,88%",C,C
Prefeitura Municipal de Colônia Leopoldina - AL,2702108,AL,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Colorado - PR,4105904,PR,23879,"4,55%",A,"95,77%",C,"3,00%",A,C
Prefeitura Municipal de Colorado - RS,4305603,RS,3221,"13,33%",A,"83,08%",A,,n.d.,n.d.
Prefeitura Municipal de Colorado do Oeste - RO,1100064,RO,16227,"3,09%",A,"95,26%",C,"39,24%",A,C
Prefeitura Municipal de Coluna - MG,3116803,MG,8907,"0,72%",A,"91,47%",B,"8,34%",A,B
Prefeitura Municipal de Combinado - TO,1705557,TO,4843,,n.d.,,n.d.,"-2,79%",C,n.d.
Prefeitura Municipal de Comendador Gomes - MG,3116902,MG,3103,"8,18%",A,"88,98%",A,,n.d.,n.d.
Prefeitura Municipal de Comendador Levy Gasparian - RJ,3300951,RJ,8544,"42,67%",A,"81,28%",A,"38,51%",A,A
Prefeitura Municipal de Comercinho - MG,3117009,MG,7090,"27,67%",A,,n.d.,"53,08%",A,n.d.
Prefeitura Municipal de Comodoro - MT,5103304,MT,20513,"8,04%",A,"91,00%",B,"7,44%",A,B
Prefeitura Municipal de Conceição - PB,2504405,PB,18904,"84,88%",B,"101,25%",C,"47,67%",A,C
Prefeitura Municipal de Conceição da Aparecida - MG,3117108,MG,10261,"5,96%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Conceição da Barra - ES,3201605,ES,30849,,n.d.,"94,24%",B,"24,60%",A,n.d.
Prefeitura Municipal de Conceição da Barra de Minas - MG,3115201,MG,3962,"6,88%",A,"95,46%",C,"4,96%",A,C
Prefeitura Municipal de Conceição da Feira - BA,2908200,BA,22392,"24,23%",A,,n.d.,"907,18%",C,n.d.
Prefeitura Municipal de Conceição das Alagoas - MG,3117306,MG,27425,"14,76%",A,"90,85%",B,"28,80%",A,B
Prefeitura Municipal de Conceição das Pedras - MG,3117207,MG,2811,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Conceição de Ipanema - MG,3117405,MG,4570,"3,10%",A,"99,15%",C,"102,13%",C,C
Prefeitura Municipal de Conceição de Macabu - RJ,3301405,RJ,23064,"17,02%",A,"84,18%",A,,n.d.,n.d.
Prefeitura Municipal de Conceição do Almeida - BA,2908309,BA,17332,"59,60%",A,"96,07%",C,"3034,06%",C,C
Prefeitura Municipal de Conceição do Araguaia - PA,1502707,PA,47734,"62,98%",B,,n.d.,"59,47%",A,n.d.
Prefeitura Municipal de Conceição do Canindé - PI,2202802,PI,4798,"3,99%",A,"99,62%",C,"293,74%",C,C
Prefeitura Municipal de Conceição do Castelo - ES,3201704,ES,12638,,n.d.,"99,76%",C,"1,69%",A,n.d.
Prefeitura Municipal de Conceição do Coité - BA,2908408,BA,66191,"96,57%",B,"93,86%",B,"156,95%",C,C
Prefeitura Municipal de Conceição do Jacuípe - BA,2908507,BA,32909,"35,38%",A,"95,60%",C,"8,60%",A,C
Prefeitura Municipal de Conceição do Lago-Açu - MA,2103554,MA,16072,"0,47%",A,,n.d.,"36,36%",A,n.d.
Prefeitura Municipal de Conceição do Mato Dentro - MG,3117504,MG,17641,"2,68%",A,"71,03%",A,"9,40%",A,A
Prefeitura Municipal de Conceição do Pará - MG,3117603,MG,5480,"12,93%",A,"95,85%",C,"46,75%",A,C
Prefeitura Municipal de Conceição do Rio Verde - MG,3117702,MG,13590,"8,16%",A,"95,38%",C,"31,29%",A,C
Prefeitura Municipal de Conceição do Tocantins - TO,1705607,TO,4124,"16,44%",A,"97,81%",C,,n.d.,n.d.
