cod_mun_ent,uf,nom_municipio_x,1.1,1.3,1.4,1.5,2.1.1,2.1.2,3.1,3.2.2,3.2.3,3.3,3.4,3.5,4.1,4.2,4.3,4.4,qtd_2018_x,Região,idhm,idhm_renda,soma_capag,media_indicadores,mediana_indicadores,sit_obr,sit_predita
510010.0,MT,Acorizal,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,5424,CO,0.628,0.594,0.9881,0.32936666666666664,0.0,2.0,2.0
120001.0,AC,Acrel�ndia,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,15020,N,0.604,0.584,0.0,0.0,0.0,2.0,2.0
520013.0,GO,Acre�na,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22182,CO,0.6859999999999999,0.71,12.2332,4.077733333333334,0.0295,1.0,1.0
240020.0,RN,A�u,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,57644,NE,0.6609999999999999,0.6409999999999999,0.5002,0.16673333333333332,0.0158,1.0,1.0
310050.0,MG,A�ucena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9575,SE,0.61,0.595,1.5767,0.5255666666666666,0.5407,0.0,0.0
350010.0,SP,Adamantina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35023,SE,0.79,0.772,1.1822,0.3940666666666666,0.2138,0.0,0.0
520015.0,GO,Adel�ndia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2517,CO,0.7020000000000001,0.664,0.0,0.0,0.0,1.0,1.0
350020.0,SP,Adolfo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3571,SE,0.73,0.71,2.4052,0.8017333333333334,0.9736,1.0,1.0
410020.0,PR,Adrian�polis,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5983,S,0.667,0.644,0.126,0.042,0.06280000000000001,1.0,1.0
290035.0,BA,Adustina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16784,NE,0.546,0.526,1.2277,0.4092333333333333,0.1836,1.0,1.0
260010.0,PE,Afogados da Ingazeira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37111,NE,0.657,0.623,11.0498,3.6832666666666665,1.0162,0.0,0.0
